energy_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,fiber_100g,kcal,category
192.0,0.0,0.0,0.0,11.67,11.67,0.015,0.0,45.88910133843212,1
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
1255.0,8.0,9.0,1.0,48.0,6.0,0.44,2.0,299.9521988527725,2
1339.0,8.0,10.0,1.0,46.0,4.0,0.42,2.0,320.0286806883365,2
1255.0,8.0,8.0,1.0,48.0,4.0,0.42,2.0,299.9521988527725,2
895.0,0.0,17.86,1.79,17.86,10.71,0.929,0.0,213.91013384321224,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1904.0,9.09,27.27,6.06,54.55,0.0,1.212,12.1,455.0669216061185,2
1774.0,9.09,15.15,3.03,60.61,0.0,1.182,15.2,423.9961759082218,2
2155.0,6.06,33.33,7.58,48.48,0.0,1.091,12.1,515.057361376673,2
1904.0,9.09,27.27,6.06,54.55,0.0,1.212,12.1,455.0669216061185,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
209.0,0.0,0.0,0.0,12.08,11.67,0.0,0.0,49.95219885277246,1
2155.0,6.06,30.3,15.15,51.52,0.0,0.758,12.1,515.057361376673,2
1774.0,9.09,15.15,6.06,60.61,0.0,0.576,15.2,423.9961759082218,2
1774.0,9.09,15.15,6.06,60.61,0.0,0.545,15.2,423.9961759082218,2
2280.0,6.06,36.36,18.18,45.45,0.0,0.303,12.1,544.9330783938815,2
2155.0,6.06,30.3,15.15,51.52,0.0,0.758,12.1,515.057361376673,2
2029.0,6.06,30.3,15.15,51.52,0.0,0.606,12.1,484.94263862332696,2
1523.0,9.09,6.06,0.0,69.7,0.0,0.636,15.2,364.00573613766727,2
2029.0,6.06,30.3,15.15,51.52,0.0,0.606,12.1,484.94263862332696,2
2013.0,7.41,9.26,3.7,51.85,0.0,1.111,7.4,481.1185468451243,2
1469.0,10.81,6.76,0.0,67.57,0.0,0.486,13.5,351.09942638623323,2
159.0,0.0,0.0,0.0,9.17,9.17,0.008,0.0,38.0019120458891,1
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
134.0,0.1,0.0,0.0,11.0,11.0,0.0,0.0,32.026768642447415,1
1810.0,10.0,13.3,1.67,73.3,0.0,0.833,3.33,432.6003824091778,2
1996.0,7.69,21.54,4.62,53.85,0.0,1.046,9.2,477.0554493307839,2
1761.0,8.77,14.04,2.63,63.16,0.0,0.982,10.5,420.8891013384321,2
2092.0,7.35,29.41,14.71,52.94,0.0,1.25,8.8,500.0,2
2180.0,7.04,32.39,16.9,50.7,0.0,1.113,8.4,521.0325047801147,2
2180.0,7.04,32.39,16.9,50.7,0.0,0.958,8.4,521.0325047801147,2
2268.0,6.94,36.11,6.94,50.0,0.0,0.431,8.3,542.0650095602294,2
2268.0,6.94,36.11,6.94,50.0,0.0,0.431,8.3,542.0650095602294,2
1761.0,8.77,14.04,2.63,64.91,0.0,0.579,10.5,420.8891013384321,2
176.0,0.5,0.1,0.08,9.2,9.2,0.0118110236220472,0.1,42.06500956022944,1
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
791.0,2.1,13.0,12.0,16.0,13.0,0.094488188976378,2.1,189.05353728489484,2D
209.0,0.0,0.0,0.0,12.5,10.0,0.0,0.4,49.95219885277246,1
2376.0,7.4,36.8,22.5,51.3,50.2,0.0590551181102362,2.1,567.8776290630975,2
628.0,7.0,11.0,0.5,3.5,1.9,2.24409448818898,0.0,150.09560229445506,3
954.0,10.53,4.39,0.0,38.6,5.26,0.491,5.3,228.0114722753346,2
1790.0,10.7,14.3,1.79,71.4,0.0,0.482,10.7,427.8202676864245,2
1480.0,3.23,6.45,0.0,71.0,38.7,0.355,6.45,353.7284894837476,2
2090.0,6.25,28.1,6.25,62.5,6.25,0.656,0.0,499.52198852772466,2
2090.0,6.25,28.1,6.25,62.5,6.25,0.656,0.0,499.52198852772466,2
2301.0,14.5,36.0,22.0,40.9,0.9,0.885826771653543,2.4,549.9521988527724,2
1548.0,11.11,5.56,0.0,74.07,0.0,0.019,11.1,369.98087954110895,2
1774.0,9.09,15.15,6.06,63.64,0.0,0.485,12.1,423.9961759082218,2
1774.0,9.09,15.15,6.06,60.61,0.0,0.879,9.1,423.9961759082218,2
2029.0,9.09,24.24,12.12,60.61,0.0,1.03,9.1,484.94263862332696,2
2092.0,9.09,27.27,13.64,54.55,0.0,0.455,9.1,500.0,2
2155.0,9.09,33.33,15.15,48.48,0.0,1.121,9.1,515.057361376673,2
2029.0,9.09,27.27,12.12,51.52,0.0,0.909,9.1,484.94263862332696,2
